제작자,차명,생산기간(부터),생산기간(까지),리콜개시일,리콜사유
폭스바겐그룹코리아 주식회사,A5 Sportback 40 TFSI qu.,10/22/20,6/30/21,2/25/22,특정 기간 동안 생산/수입된 일부 차량에 탑재된 에어백 제어 유닛 소프트웨어 오류로 차량 사고 발생 시 사고기록장치에 일부 데이터가 정확하게 저장되지 않을 수 있습니다. 이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제56조의2(사고기록장치)의 일부를 준수하지 않아 국내 자동차 안전 기준을 충족하지 않습니다
폭스바겐그룹코리아 주식회사,A5 Sportback 40 TDI qu. Premium,9/1/20,1/13/22,2/25/22,특정 기간 동안 생산/수입된 일부 차량에 탑재된 에어백 제어 유닛 소프트웨어 오류로 차량 사고 발생 시 사고기록장치에 일부 데이터가 정확하게 저장되지 않을 수 있습니다. 이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제56조의2(사고기록장치)의 일부를 준수하지 않아 국내 자동차 안전 기준을 충족하지 않습니다
폭스바겐그룹코리아 주식회사,A5 Sportback 35 TDI Premium,3/8/21,5/7/21,2/25/22,특정 기간 동안 생산/수입된 일부 차량에 탑재된 에어백 제어 유닛 소프트웨어 오류로 차량 사고 발생 시 사고기록장치에 일부 데이터가 정확하게 저장되지 않을 수 있습니다. 이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제56조의2(사고기록장치)의 일부를 준수하지 않아 국내 자동차 안전 기준을 충족하지 않습니다
폭스바겐그룹코리아 주식회사,A5 Coupe 45 TFSI qu. Premium,10/10/20,12/23/21,2/25/22,특정 기간 동안 생산/수입된 일부 차량에 탑재된 에어백 제어 유닛 소프트웨어 오류로 차량 사고 발생 시 사고기록장치에 일부 데이터가 정확하게 저장되지 않을 수 있습니다. 이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제56조의2(사고기록장치)의 일부를 준수하지 않아 국내 자동차 안전 기준을 충족하지 않습니다
폭스바겐그룹코리아 주식회사,A5 Cabriolet 45 TFSI qu. Premium,9/16/20,11/11/21,2/25/22,특정 기간 동안 생산/수입된 일부 차량에 탑재된 에어백 제어 유닛 소프트웨어 오류로 차량 사고 발생 시 사고기록장치에 일부 데이터가 정확하게 저장되지 않을 수 있습니다. 이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제56조의2(사고기록장치)의 일부를 준수하지 않아 국내 자동차 안전 기준을 충족하지 않습니다
폭스바겐그룹코리아 주식회사,A4 45 TFSI qu. Premium,9/16/20,1/14/22,2/25/22,특정 기간 동안 생산/수입된 일부 차량에 탑재된 에어백 제어 유닛 소프트웨어 오류로 차량 사고 발생 시 사고기록장치에 일부 데이터가 정확하게 저장되지 않을 수 있습니다. 이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제56조의2(사고기록장치)의 일부를 준수하지 않아 국내 자동차 안전 기준을 충족하지 않습니다
폭스바겐그룹코리아 주식회사,A4 40 TFSI Premium,7/21/20,7/19/21,2/25/22,특정 기간 동안 생산/수입된 일부 차량에 탑재된 에어백 제어 유닛 소프트웨어 오류로 차량 사고 발생 시 사고기록장치에 일부 데이터가 정확하게 저장되지 않을 수 있습니다. 이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제56조의2(사고기록장치)의 일부를 준수하지 않아 국내 자동차 안전 기준을 충족하지 않습니다
폭스바겐그룹코리아 주식회사,A4 40 TFSI,7/21/20,5/20/21,2/25/22,특정 기간 동안 생산/수입된 일부 차량에 탑재된 에어백 제어 유닛 소프트웨어 오류로 차량 사고 발생 시 사고기록장치에 일부 데이터가 정확하게 저장되지 않을 수 있습니다. 이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제56조의2(사고기록장치)의 일부를 준수하지 않아 국내 자동차 안전 기준을 충족하지 않습니다
폭스바겐그룹코리아 주식회사,A4 40 TDI qu. Premium,7/21/20,7/15/21,2/25/22,특정 기간 동안 생산/수입된 일부 차량에 탑재된 에어백 제어 유닛 소프트웨어 오류로 차량 사고 발생 시 사고기록장치에 일부 데이터가 정확하게 저장되지 않을 수 있습니다. 이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제56조의2(사고기록장치)의 일부를 준수하지 않아 국내 자동차 안전 기준을 충족하지 않습니다
폭스바겐그룹코리아 주식회사,A4 35 TDI Premium,7/21/20,1/21/22,2/25/22,특정 기간 동안 생산/수입된 일부 차량에 탑재된 에어백 제어 유닛 소프트웨어 오류로 차량 사고 발생 시 사고기록장치에 일부 데이터가 정확하게 저장되지 않을 수 있습니다. 이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제56조의2(사고기록장치)의 일부를 준수하지 않아 국내 자동차 안전 기준을 충족하지 않습니다
폭스바겐그룹코리아 주식회사,A4 35 TDI,7/21/20,4/6/21,2/25/22,특정 기간 동안 생산/수입된 일부 차량에 탑재된 에어백 제어 유닛 소프트웨어 오류로 차량 사고 발생 시 사고기록장치에 일부 데이터가 정확하게 저장되지 않을 수 있습니다. 이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제56조의2(사고기록장치)의 일부를 준수하지 않아 국내 자동차 안전 기준을 충족하지 않습니다
폭스바겐그룹코리아 주식회사,SQ8 TDI,9/16/20,10/1/20,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,SQ5 TFSI,4/9/20,4/10/20,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,SQ5 TDI,3/19/20,3/19/20,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,S8 LWB qu.,11/25/20,12/16/20,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,S7 TDI,3/6/20,9/17/20,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,S6 TDI,3/6/20,9/14/20,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,Q8 55 TFSI qu. Premium,9/22/20,10/19/20,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,Q8 50 TDI qu. Premium,9/16/20,10/2/20,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,Q8 45 TDI qu. Premium,9/21/20,9/24/20,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,Q7 55 TFSI qu. Premium,9/24/20,10/1/20,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,Q7 45 TDI qu. Premium,9/18/20,9/22/20,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,Q7 45 TDI qu.,9/18/20,9/21/20,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,Q5 50 TDI qu. Premium,2/28/20,3/20/20,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,Q5 45 TFSI qu. Premium,1/23/20,2/19/21,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,Q5 45 TFSI qu.,1/24/20,2/18/21,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,Q5 40 TDI qu. Premium,2/5/20,4/8/21,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,Q5 40 TDI qu.,2/5/20,4/8/21,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,e-tron 55 quattro,3/20/20,3/20/20,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A8 60 TFSI LWB qu.,11/30/20,12/15/20,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A8 55 TFSI LWB qu.,12/2/19,12/18/20,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A8 50 TDI LWB qu.,12/12/19,3/12/20,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A7 55 TFSI qu. Premium,11/27/20,12/17/20,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A7 50 TDI qu. Premium,12/9/20,9/22/20,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A7 45 TDI qu. Premium,3/6/20,9/8/20,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A6 50 TDI qu. Premium,3/6/20,9/15/20,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A6 45 TFSI qu. Premium,11/28/19,12/28/20,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A6 45 TFSI qu.,11/28/19,12/16/19,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A6 45 TFSI Premium,2/21/20,1/12/21,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A6 45 TFSI,2/21/20,12/29/20,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A6 45 TDI qu. Premium,12/9/19,9/17/20,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A6 40 TDI qu. Premium,11/27/19,9/23/20,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A6 40 TDI Premium,12/2/19,9/17/20,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A6 40 TDI,12/12/19,9/17/20,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A5 Sportback 45 TFSI qu. Premium,3/4/20,3/17/20,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A5 Sportback 40 TFSI qu. Premium,12/10/20,12/10/20,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A5 Sportback 40 TFSI qu.,12/4/20,12/9/20,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A5 Sportback 40 TDI qu. Premium,2/3/20,3/10/20,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A5 Coupe 45 TFSI qu. Premium,2/21/20,12/15/20,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A5 Cabriolet 45 TFSI qu. Premium,2/14/20,12/12/20,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A4 45 TFSI qu. Premium,9/22/20,12/16/20,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A4 40 TFSI Premium,2/11/20,12/16/20,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A4 40 TFSI,2/12/20,12/11/20,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A4 40 TDI qu. Premium,2/5/20,9/15/20,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
폭스바겐그룹코리아 주식회사,A4 35 TDI Premium,2/3/20,9/15/20,2/25/22,"후방 액슬서스펜션 링크 고정너트 부식으로 인한 내구성 저하 가능성으로 시행한 고정 너트를 교체하는 시정 조치 시, 후방 차축의 휠얼라인먼트(토우 및 캠버)가 변경되었을 가능성이 있습니다. *액슬서스펜션링크: 차체와 바퀴를 연결하며, 차체의 중량을 지지함과 동시에 동력을 전달하는 장치로써, 승차감 향상과 차량 자세를 안정된 상태로 유지하는 기능을 함."
